,date,abstract,keywords
0,2025-03-03T14:00:34+0000,There has been a dramatic drop in the number of people gathering at the U.S. border and trying to cross. Can it help Mexico stave off President Trump’s threatened tariffs?,United States International Relations
1,2025-03-01T19:34:05+0000,"The new case, which for now is asking for a court to block the transfer of 10 men to the offshore base, is the first to directly challenge the policy.",Guantanamo Bay Naval Base (Cuba)
2,2025-03-07T12:33:25+0000,"The missing people were on two boats that capsized off Yemen, which is on a major route for migrants trying to reach Gulf countries for work.",Drownings
3,2025-03-10T20:20:40+0000,"President Trump said the base would house as many as 30,000 migrants awaiting deportation. But construction of a tent city was halted weeks ago.",United States Defense and Military Forces
4,2025-02-28T22:01:42+0000,More than 100 asylum seekers from around the world sent to Panama from the United States have no sense how long they will be held or where they might eventually be sent.,Immigration Detention
5,2025-02-24T18:42:20+0000,"Mayor Eric Adams announced on Monday that the hotel will stop housing migrants by June, calling the closure a milestone in New York City’s response to the crisis.",Immigration Shelters
6,2025-02-20T22:30:21+0000,"A transfer operation on Thursday repatriated 177 Venezuelans via a handoff in Honduras, while one migrant was brought back to U.S. soil.","Trump, Donald J"
7,2025-03-05T22:36:53+0000,"At a House hearing, the mayors of Boston, Chicago, Denver and New York City rejected accusations that they were harboring criminals by not aiding deportation efforts.",United States Politics and Government
8,2025-03-08T03:16:57+0000,"The president signed an order that would deny loan forgiveness to workers for groups engaged in “substantial illegal activities,” which it indicated included things like diversity initiatives.",United States Politics and Government
9,2025-03-02T10:02:35+0000,"Aiming to appease President Trump, Mexico is hitting China with tariffs, handing cartel leaders over to the United States and using C.I.A. intelligence to hunt down others.",Illegal Immigration
10,2025-03-01T10:01:04+0000,"The Canadian government has reinforced border operations to stop migrants going to the United States, a major Trump complaint. But early data shows people are, instead, starting to flee the United States for Canada.",Immigration and Emigration
11,2025-02-20T14:32:51+0000,Lawsuits are challenging President Trump’s abrupt decision to send men awaiting deportation to the American military base in Cuba.,Illegal Immigration
12,2025-03-02T08:00:27+0000,"In Corona, a once-vibrant New York City enclave home to generations of Latino immigrants, the threat of mass deportations has made many residents afraid to go outside.","Corona (Queens, NY)"
13,2025-02-19T18:01:27+0000,The Trump administration has said little about the Venezuelan men who were transferred from Texas to the U.S. military base in Cuba.,Guantanamo Bay Naval Base (Cuba)
14,2025-02-20T05:12:10+0000,President Trump’s executive order also directed federal departments and agencies to ensure that federal funds do not encourage people to come to the United States illegally.,United States Politics and Government
15,2025-02-19T16:30:21+0000,"The group of unauthorized migrants, which includes children, were bused to the camp late Tuesday night. “It looks like a zoo, there are fenced cages,” said one of the detainees.",Illegal Immigration
16,2025-02-18T03:52:56+0000,Costa Rica is the second Central American nation to accept migrants from distant countries as the Trump administration ramps up deportation flights.,Costa Rica
17,2025-02-20T22:26:26+0000,Most undocumented immigrants are ineligible for federal benefits already. But here’s what the directive could mean in practice.,United States Politics and Government
18,2025-02-14T23:13:55+0000,A new policy requires the fingerprinting of all adults who will be living with a migrant child in the United States. Advocates for immigrants say it could fuel overcrowding in shelters.,United States Politics and Government
19,2025-02-18T11:00:10+0000,"Plus, meat raffles: like bingo, but with beef.","Aviation Accidents, Safety and Disasters"
20,2025-02-15T23:15:23+0000,The decision to sue over the $80 million in seized funds comes as the New York City mayor has been accused of supporting the White House’s immigration agenda in exchange for legal leniency.,New York City
21,2025-02-18T22:44:24+0000,"Days after the United States sent 300 migrants from Asia and the Middle East to Panama, a Panamanian official said that more than half had agreed to be deported to their countries of origin.",Panama
22,2025-02-21T19:51:28+0000,The move would be a drastic escalation by the White House to militarize immigration enforcement.,United States Defense and Military Forces
23,2025-02-18T10:02:14+0000,The administration has asked Panama to take in hundreds of people who can’t easily be sent back to their countries. Many say they are in danger.,Illegal Immigration
24,2025-02-13T10:03:19+0000,"As India’s prime minister, Narendra Modi, meets with President Trump, issues around immigration are likely to be a source of tension, including a U.S. military flight that returned shackled migrants to India.",Deportation
25,2025-02-13T14:47:45+0000,"The move could herald a new front in the Trump administration’s plans for mass deportations, one that allows for more rapid removal of migrants whose home countries are reluctant to accept them.",Deportation
26,2025-02-13T02:15:21+0000,The Times has obtained a list of 53 Venezuelan men the Trump administration has put in a wartime prison built to hold Al Qaeda suspects.,United States Defense and Military Forces
27,2025-02-11T20:34:54+0000,"Luis Alberto Castillo arrived in the United States so that he could “give everything to his son,” said his sister. Then, while scrolling on TikTok, she found out he was headed to Guantánamo.",Illegal Immigration
28,2025-02-10T20:30:31+0000,"The flights, which left Fort Bliss in Texas, represent a significant victory for President Trump, who has vowed to carry out sweeping deportations.",Illegal Immigration
29,2025-03-11T09:00:55+0000,The city is dramatically rewriting the story of skilled migration.,Foreign Workers
30,2025-02-13T18:33:12+0000,The legislation would increase penalties for citizens and allow anyone who is not a citizen to be deported for evading arrest or detention while driving a vehicle within 100 miles of the border.,United States Politics and Government
31,2025-03-10T09:02:13+0000,"Talking to people around Chicago, I heard the word “resentment” over and over.","Trump, Donald J"
32,2025-02-12T19:56:17+0000,"In a lawsuit, the groups asked a judge to enable lawyers to communicate with the men in case they would like legal representation.",Illegal Immigration
33,2025-03-09T09:00:38+0000,"Fearing roundups, many immigrants are staying home. Construction, agriculture, senior care and hospitality employers say labor shortages will worsen.",Foreign Workers
34,2025-03-05T22:41:43+0000,"Mayor Mike Johnston faced hours of hostile questions from House members, some from his own party.","Johnston, Michael (1974- )"
35,2025-03-11T09:04:08+0000,The president should reread the Declaration of Independence.,"Trump, Donald J"
36,2025-03-08T12:00:13+0000,"My decision to leave the U.S. seemed crazy. I believed then that America was exceptional, the only nation capable of caring for its people.",Illegal Immigration
37,2025-03-09T07:00:06+0000,President Trump and his divisive policies are helping to define the primary races for New Jersey governor.,United States Politics and Government
38,2025-03-07T03:50:49+0000,"The judges, who are part of the Justice Department, make decisions about asylum claims and have the power to order someone removed from the country.",United States Politics and Government
39,2025-03-06T11:01:21+0000,"Plus, Dolly Parton’s love story.",United States Politics and Government
40,2025-03-05T23:39:39+0000,"Republicans accused the mayors of New York, Chicago, Denver and Boston of providing sanctuary to criminals, while Democrats pointed to falling crime rates and defended helping the needy.",Mayors
41,2025-03-05T21:59:42+0000,Democratic lawmakers grilled Mayor Eric Adams of New York City over the circumstances behind the Justice Department’s move to dismiss his criminal case.,"Adams, Eric L"
42,2025-03-05T16:00:09+0000,President Trump’s promise to launch the largest deportation operation in U.S. history is colliding with the practical difficulties of detaining people and transporting them across the globe.,Illegal Immigration
43,2025-03-05T05:28:54+0000,What Times Opinion columnists and writers thought of the president’s speech to Congress.,United States Politics and Government
44,2025-03-04T10:01:41+0000,"At 9 p.m. Eastern, President Trump will speak to a joint session of Congress for the first time in his second term. The New York Times will carry the address live.",State of the Union Message (US)
45,2025-03-04T01:36:57+0000,"In a letter to Attorney General Pam Bondi, the lawmakers, Jamie Raskin of Maryland and Jasmine Crockett of Texas, accused the Justice Department of a coverup.",United States Politics and Government
46,2025-03-01T22:13:56+0000,A group of lawyers accused Panama of violating the rights of people deported from the United States under the Trump administration’s policy of sending migrants to cooperative Latin American nations.,Deportation
47,2025-03-03T10:02:25+0000,President Trump’s plan to apply 25 percent tariffs on Canadian exports is set to start on Tuesday. They would deal a brutal blow to Canada’s economy.,Protectionism (Trade)
48,2025-02-13T02:15:26+0000,"The Times has obtained a list of the names of the men, whom the U.S. government has described as Venezuelan citizens under final deportation orders.",United States Defense and Military Forces
49,2025-03-01T17:39:28+0000,The troop mobilization indicates that President Trump is breaking with recent presidents’ practice of limiting deployments along the U.S.-Mexico border mostly to small numbers of active-duty soldiers and reservists.,United States Defense and Military Forces
